attribute,lemma,count,surfaces
Sapore,sapore,144,"sapore, sapori"
Sapore,intensità,136,intensità
Sapore,punta,129,"punta, punte"
Sapore,prevalente,122,"prevalente, prevalenti"
Sapore,dolcezza,108,dolcezza
Sapore,manca,104,manca
Sapore,complesso,102,complesso
Sapore,pieno,98,pieno
Sapore,marcato,98,"marcato, marcata"
Sapore,lieve,96,lieve
Sapore,buon,94,buon
Sapore,persistente,92,"persistente, persistenti"
Sapore,bassa,92,"bassa, basso, bassi"
Sapore,gusti,86,"gusti, gusto"
Sapore,tendente,85,tendente
Sapore,forte,84,"forte, forti"
Sapore,alta,80,alta
Sapore,amarognolo,76,amarognolo
Sapore,scarno,72,scarno
Sapore,bruciante,72,bruciante
Sapore,contenuta,72,"contenuta, contenuto, contenuti"
Sapore,intenso,68,"intenso, intensi"
Sapore,saporito,67,saporito
Sapore,sapidità,66,sapidità
Sapore,percepibile,64,"percepibile, percepibili"
Sapore,evidente,64,"evidente, evidenti"
Sapore,presente,62,"presente, presenti"
Sapore,elevata,58,elevata
Sapore,pizzica,58,pizzica
Sapore,eccessivo,56,"eccessivo, eccessiva, eccessivi"
Sapore,iniziale,56,"iniziale, inizialmente"
Sapore,ok,54,ok
Sapore,gola,52,gola
Sapore,grana,52,grana
Sapore,resto,52,resto
Sapore,acre,50,acre
Sapore,lingua,50,lingua
Sapore,formaggio,50,formaggio
Sapore,umani,44,"umani, umano"
Sapore,eccesso,44,"eccesso, eccessi"
Sapore,prevale,44,prevale
Sapore,acidulo,44,acidulo
Sapore,neutro,44,neutro
Sapore,moderato,44,"moderato, moderata"
Sapore,nessuna,42,nessuna
Sapore,accentuati,42,"accentuati, accentuato"
Sapore,dolciastro,42,dolciastro
Sapore,percepito,40,"percepito, percepiti, percepita"
Sapore,ecquilibrato,40,ecquilibrato
Sapore,nulla,38,"nulla, nullo"
Sapore,pochetto,36,pochetto
Sapore,peccato,36,peccato
Sapore,nostrano,36,nostrano
Sapore,ben,36,ben
Sapore,sbilanciato,36,"sbilanciato, sbilanciati"
Sapore,prevalenza,34,prevalenza
Sapore,piacevole,34,"piacevole, piacevoli"
Sapore,allappante,32,allappante
Sapore,grasso,32,"grasso, grassa"
Sapore,all'acido,32,all'acido
Sapore,crosta,32,crosta
Sapore,buona,32,"buona, buono"
Sapore,lievee,32,lievemente
Sapore,assente,32,assente
Sapore,squilibrato,32,squilibrato
Sapore,subito,32,subito
Sapore,rinfrescante,32,rinfrescante
Sapore,insapore,32,insapore
Sapore,assenza,32,assenza
Sapore,anonimo,30,anonimo
Sapore,astringente,30,astringente
Sapore,bocca,28,bocca
Sapore,retrogusto,28,retrogusto
Sapore,leggerissimo,28,"leggerissimo, leggerissima"
Sapore,delicato,28,delicato
Sapore,cotto,28,cotto
Sapore,dolciastre,28,"dolciastre, dolciastra"
Sapore,negativo,28,"negativo, negativi, negativa"
Sapore,però,26,però
Sapore,piccantino,26,"piccantino, piccantina"
Sapore,pienezza,24,pienezza
Sapore,debole,24,debole
Sapore,netto,24,netto
Sapore,scarsa,24,"scarsa, scarso"
Sapore,positivo,24,"positivo, positiva, positivi"
Sapore,segue,24,segue
Sapore,sapidita,24,sapidita
Sapore,deciso,23,deciso
Sapore,no,21,no
Sapore,sensazioni,20,"sensazioni, sensazione"
Sapore,piatto,20,piatto
Sapore,domina,20,domina
Sapore,pungenza,20,pungenza
Sapore,prevalgono,20,prevalgono
Sapore,percettibile,20,"percettibile, percettibili"
Sapore,tendenza,20,tendenza
Sapore,acidit',20,acidit'
Sapore,abb,20,abb
Sapore,niente,20,niente
Sapore,armonico,20,"armonico, armonici"
Sapore,spicca,20,spicca
Sapore,all'amaro,20,all'amaro
